scores,
6.197645,
6.2295046,
6.269302,
6.309759,
6.3498015,
6.389631,
6.4289813,
6.4669356,
6.502519,
6.5356426,
6.5428505,
6.6106863,
6.6482105,
6.682606,
6.715794,
6.7430987,
6.7622247,
6.7766643,
6.7878246,
6.801575,
6.9992127,
6.999073,
6.998905,
6.998741,
6.9985847,
6.998433,
6.9982862,
6.9981494,
6.9980235,
6.9979086,
7.759581,
7.7130666,
7.6589494,
7.60748,
7.5595045,
7.514317,
7.4718504,
7.432648,
7.397328,
7.365554,
8.5089245,
8.401705,
8.282465,
8.170931,
8.0688,
7.9746094,
7.888046,
7.809512,
7.7396526,
7.677428,
8.921074,
8.82905,
8.677082,
8.532485,
8.398463,
8.271199,
8.151163,
8.042451,
7.9493594,
7.86787,
9.871174,
9.697725,
9.46277,
9.234553,
9.017531,
8.813375,
8.629073,
8.470036,
8.332061,
8.2111435,
10.08097,
9.851809,
9.584638,
9.331647,
9.099004,
8.887681,
8.698719,
8.531879,
8.386604,
8.259095,
11.037062,
10.760884,
10.437265,
10.114362,
9.804616,
9.515535,
9.253423,
9.021271,
8.819577,
8.643451,
11.554554,
11.355822,
11.049584,
10.726187,
10.392807,
10.057852,
9.735619,
9.443274,
9.194586,
8.977472,
13.0478945,
12.9771385,
12.819957,
12.612201,
12.342531,
12.0100565,
11.637041,
11.265706,
10.901087,
10.548463,
15.279119,
15.58208,
15.925112,
16.316826,
16.791294,
17.430943,
18.245441,
19.209146,
20.21616,
21.108818,
20.70707,
21.345469,
21.88245,
22.280607,
22.559975,
22.751291,
22.87713,
22.95987,
23.012508,
23.044704,
21.642776,
22.020573,
22.34204,
22.584345,
22.758291,
22.879091,
22.960129,
23.011696,
23.044193,
23.063723,
22.563107,
22.713509,
22.827478,
22.91155,
22.972519,
23.014881,
23.04441,
23.063028,
23.074656,
23.081573,
23.232159,
23.208206,
23.191803,
23.173975,
23.154688,
23.135206,
23.118038,
23.105776,
23.099009,
23.094563,
23.323195,
23.277374,
23.247744,
23.21836,
23.18685,
23.155258,
23.128895,
23.11162,
23.102325,
23.096506,
23.361832,
23.302027,
23.263842,
23.22445,
23.182985,
23.145779,
23.118906,
23.105927,
23.101755,
23.096302,
23.319656,
23.247084,
23.200891,
23.161415,
23.126392,
23.100574,
23.089489,
23.091133,
23.095844,
23.093103,
23.00805,
22.929142,
22.90522,
22.908943,
22.933706,
22.970753,
23.011816,
23.050133,
23.075773,
23.081318,
6.974123,
6.8338323,
6.608733,
6.576067,
6.8700304,
6.8764157,
6.8958116,
6.9022217,
6.887297,
6.885473,
18.29542,
19.478523,
20.552687,
21.389332,
21.9793,
22.37244,
22.629625,
22.797249,
22.907452,
22.977598,
23.183584,
23.179897,
23.182602,
23.178402,
23.165922,
23.14612,
23.123886,
23.107271,
23.100145,
23.094847,
8.372886,
7.6045437,
7.3146996,
7.118484,
6.9542446,
6.9252567,
7.0877614,
7.084418,
7.0803394,
7.0640717,
10.678999,
10.533432,
10.270388,
9.972295,
9.664965,
9.388779,
9.135507,
8.917284,
8.728968,
8.564496,
17.115732,
18.168262,
19.22228,
20.2705,
21.171247,
21.828623,
22.273506,
22.565542,
22.757095,
22.87942,
