blizzard
13
14
15
17
27
33
19
22
25
27
27
28
31
33
34
34
36
39
47
70
10
21
27
29
31
34
50
65
3
6
8
9
9
10
16
18
20
20
20
21
21
22
24
25
25
26
27
27
28
30
34
36
37
38
41
42
42
45
46
46
5
8
11
15
16
19
20
21
22
22
24
25
25
25
26
27
28
29
29
29
32
33
36
36
37
37
43
44
49
53
53
56
57
74
78
89
2
3
3
4
6
7
8
9
10
10
10
12
14
16
16
16
18
18
18
18
19
20
22
24
24
25
25
26
27
30
30
30
32
34
34
39
42
44
46
65
90
7
10
11
13
16
18
18
19
23
23
24
25
25
25
27
30
34
34
36
38
39
44
48
48
56
57
74
82
83
0
9
9
11
12
13
13
16
16
16
16
18
18
19
22
22
23
25
25
27
28
29
29
30
33
34
34
34
34
34
35
36
37
37
37
38
38
38
39
39
40
41
42
42
44
44
47
49
49
51
52
52
55
60
61
72
72
6
12
13
15
15
18
19
19
19
20
21
21
21
21
23
23
25
27
28
28
28
29
29
30
30
31
32
33
35
36
36
37
38
39
41
41
42
42
42
45
46
46
47
47
48
52
52
52
52
53
53
54
61
61
62
63
64
68
68
69
75
78
2
5
7
8
8
8
10
12
13
13
15
15
18
18
19
21
22
22
23
23
23
23
23
24
25
25
25
26
27
29
30
30
32
33
33
34
34
36
39
43
44
45
45
48
50
54
55
56
59
61
63
66
67
68
70
105
19
28
35
36
45
56
25
39
59
60
91
0
0
6
11
11
11
12
14
16
16
18
18
19
19
20
20
21
21
21
21
21
22
22
22
24
24
25
25
25
26
26
27
27
28
29
30
30
30
31
31
33
34
37
38
38
39
39
39
40
41
41
42
43
43
44
44
44
52
54
54
55
55
56
57
59
59
59
63
64
66
68
71
80
83
83
92
0
3
4
8
12
20
20
21
22
23
24
24
25
29
29
29
29
31
32
33
35
36
36
36
38
38
38
38
40
41
41
41
41
41
42
43
43
45
46
46
46
46
47
47
47
47
48
48
49
50
50
50
54
54
54
57
59
59
59
62
63
65
66
68
68
69
69
70
70
71
71
73
75
78
78
84
89
91
108
27
50
60
10
15
16
18
19
19
20
22
23
29
30
33
34
46
0
3
5
10
12
18
18
20
20
23
24
24
30
31
31
32
33
33
34
37
41
42
48
51
52
52
54
63
65
66
66
67
77
77
26
38
59
93
0
0
0
3
5
8
13
14
17
20
24
26
27
27
29
30
30
31
34
34
36
38
39
39
39
40
41
41
42
43
43
47
48
48
49
51
51
55
55
56
56
59
59
60
61
61
61
63
63
67
67
67
67
69
69
72
72
74
75
77
77
82
96
98
105
114
8
12
12
15
16
21
21
23
23
28
29
30
30
30
32
33
34
37
39
40
42
45
47
49
52
53
57
62
62
62
63
65
76
76
77
83
84
86
86
0
0
4
7
8
8
10
11
12
14
14
16
17
17
18
22
23
23
24
25
25
26
26
28
30
31
32
34
37
37
39
39
39
40
40
41
41
42
43
44
48
49
50
50
50
50
53
54
55
57
58
59
61
62
62
66
70
74
76
79
81
84
84
85
91
96
98
105
123
123
124
